"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Total Population (Number)","2016","Ballingarry, Limerick","Number","521"
"Total Population (Number)","2016","Ballingarry, South Tipperary","Number","269"
"Total Population (Number)","2016","Ballinlough, Roscommon","Number","300"
"Total Population (Number)","2016","Ballinroad, Waterford","Number","1161"
"Total Population (Number)","2016","Ballinrobe, Mayo","Number","2786"
"Total Population (Number)","2016","Ballinspittle, Cork","Number","224"
"Total Population (Number)","2016","Ballintober, Roscommon","Number","147"
"Total Population (Number)","2016","Ballintogher, Sligo","Number","331"
"Total Population (Number)","2016","Ballintra, Donegal","Number","191"
"Total Population (Number)","2016","Ballisodare, Sligo","Number","1350"
"Total Population (Number)","2016","Ballivor, Meath","Number","1809"
"Total Population (Number)","2016","Ballon, Carlow","Number","712"
"Total Population (Number)","2016","Ballyagran, Limerick","Number","179"
"Total Population (Number)","2016","Ballybay, Monaghan","Number","1241"
"Total Population (Number)","2016","Ballybofey-Stranorlar, Donegal","Number","4852"
"Total Population (Number)","2016","Ballyboghil, Fingal","Number","447"
"Total Population (Number)","2016","Ballybrittas, Laois","Number","388"
"Total Population (Number)","2016","Ballybunion, Kerry","Number","1413"
"Total Population (Number)","2016","Ballycanew, Wexford","Number","516"
"Total Population (Number)","2016","Ballycannan, Clare","Number","638"
"Total Population (Number)","2016","Ballycastle, Mayo","Number","219"
"Total Population (Number)","2016","Ballyclerahan, South Tipperary","Number","862"
"Total Population (Number)","2016","Ballyclogh, Cork","Number","259"
"Total Population (Number)","2016","Ballycolla, Laois","Number","136"
"Total Population (Number)","2016","Ballyconnell, Cavan","Number","1105"
"Total Population (Number)","2016","Ballycotton, Cork","Number","497"
"Total Population (Number)","2016","Ballycullane, Wexford","Number","318"
"Total Population (Number)","2016","Ballycumber, Offaly","Number","208"
"Total Population (Number)","2016","Ballydehob, Cork","Number","274"
"Total Population (Number)","2016","Ballydesmond, Cork","Number","210"
"Total Population (Number)","2016","Ballyduff, Kerry","Number","517"
"Total Population (Number)","2016","Ballyedmond, Wexford","Number","121"
"Total Population (Number)","2016","Ballyfarnan, Roscommon","Number","187"
"Total Population (Number)","2016","Ballyforan, Roscommon","Number","200"
"Total Population (Number)","2016","Ballygar, Galway","Number","687"
"Total Population (Number)","2016","Ballygarvan, Cork","Number","556"
"Total Population (Number)","2016","Ballygawley, Sligo","Number","310"
"Total Population (Number)","2016","Ballygeary (Rosslare Harbour), Wexford","Number","1200"
"Total Population (Number)","2016","Ballyhack, Wexford","Number","206"
"Total Population (Number)","2016","Ballyhahill, Limerick","Number","146"
"Total Population (Number)","2016","Ballyhaise, Cavan","Number","711"
"Total Population (Number)","2016","Ballyhale, Kilkenny","Number","174"
"Total Population (Number)","2016","Ballyhaunis, Mayo","Number","2366"
"Total Population (Number)","2016","Ballyheigue, Kerry","Number","724"
"Total Population (Number)","2016","Ballyhogue, Wexford","Number","269"
"Total Population (Number)","2016","Ballyhooly, Cork","Number","475"
"Total Population (Number)","2016","Ballyjamesduff, Cavan","Number","2661"
"Total Population (Number)","2016","Ballyknockan, Wicklow","Number","227"
"Total Population (Number)","2016","Ballylanders, Limerick","Number","308"
"Total Population (Number)","2016","Ballyliffin, Donegal","Number","426"
"Total Population (Number)","2016","Ballylinan, Laois","Number","1101"
"Total Population (Number)","2016","Ballylongford, Kerry","Number","391"
"Total Population (Number)","2016","Ballymacarbry, Waterford","Number","138"
"Total Population (Number)","2016","Ballymacoda, Cork","Number","185"
"Total Population (Number)","2016","Ballymahon, Longford","Number","1877"
"Total Population (Number)","2016","Ballymore, Westmeath","Number","483"
"Total Population (Number)","2016","Ballymore Eustace, Kildare","Number","873"
"Total Population (Number)","2016","Ballymote, Sligo","Number","1549"
"Total Population (Number)","2016","Ballymurn, Wexford","Number","524"
"Total Population (Number)","2016","Ballynacargy, Westmeath","Number","277"
"Total Population (Number)","2016","Ballynoe, Cork","Number","141"
"Total Population (Number)","2016","Ballynonty, South Tipperary","Number","152"
"Total Population (Number)","2016","Ballyoulster, Kildare","Number","479"
"Total Population (Number)","2016","Ballyporeen, South Tipperary","Number","318"
"Total Population (Number)","2016","Ballyragget, Kilkenny","Number","1082"
"Total Population (Number)","2016","Ballyroan, Laois","Number","563"
"Total Population (Number)","2016","Ballyroe, Kildare","Number","181"
"Total Population (Number)","2016","Ballysax, Kildare","Number","342"
"Total Population (Number)","2016","Ballyshannon, Donegal","Number","2299"
"Total Population (Number)","2016","Ballysimon, Wexford","Number","319"
"Total Population (Number)","2016","Ballytore, Kildare","Number","793"
"Total Population (Number)","2016","Ballyvaughan, Clare","Number","191"
"Total Population (Number)","2016","Balrothery, Fingal","Number","2017"
"Total Population (Number)","2016","Baltimore, Cork","Number","323"
"Total Population (Number)","2016","Baltinglass, Wicklow","Number","2137"
"Total Population (Number)","2016","Baltray, Louth","Number","132"
"Total Population (Number)","2016","Banagher, Offaly","Number","1760"
"Total Population (Number)","2016","Bandon, Cork","Number","6957"
"Total Population (Number)","2016","Bangor Erris, Mayo","Number","306"
"Total Population (Number)","2016","Bansha, South Tipperary","Number","333"
"Total Population (Number)","2016","Banteer, Cork","Number","355"
"Total Population (Number)","2016","Bantry, Cork","Number","2722"
"Total Population (Number)","2016","Barndarrig, Wicklow","Number","260"
"Total Population (Number)","2016","Barntown, Wexford","Number","459"
"Total Population (Number)","2016","Baylin, Westmeath","Number","240"
"Total Population (Number)","2016","Béal an Mhuirthead, Mayo","Number","1019"
"Total Population (Number)","2016","Béal Átha an Ghaorthaidh, Cork","Number","235"
"Total Population (Number)","2016","Bearna, Galway","Number","1998"
"Total Population (Number)","2016","Beaufort, Kerry","Number","251"
"Total Population (Number)","2016","Beaulieu, Louth","Number","232"
"Total Population (Number)","2016","Belcarra, Mayo","Number","228"
"Total Population (Number)","2016","Belgooly, Cork","Number","826"
"Total Population (Number)","2016","Bellanode, Monaghan","Number","470"
"Total Population (Number)","2016","Bellanagare, Roscommon","Number","153"
"Total Population (Number)","2016","Bellavary, Mayo","Number","159"
"Total Population (Number)","2016","Belmont, Offaly","Number","200"
"Total Population (Number)","2016","Belturbet, Cavan","Number","1369"
"Total Population (Number)","2016","Bennettsbridge, Kilkenny","Number","745"
"Total Population (Number)","2016","Birr, Offaly","Number","4370"
"Total Population (Number)","2016","Blacklion, Cavan","Number","194"
"Total Population (Number)","2016","Blarney, Cork","Number","2539"
"Total Population (Number)","2016","Blessington, Kildare and Wicklow","Number","5520"
"Total Population (Number)","2016","Boherbue, Cork","Number","334"
"Total Population (Number)","2016","Boherlahan, Tipperary","Number","299"
"Total Population (Number)","2016","Bohola, Mayo","Number","203"
"Total Population (Number)","2016","Borris, Carlow","Number","652"
"Total Population (Number)","2016","Borris-in-Ossory, Laois","Number","508"
"Total Population (Number)","2016","Borrisokane, North Tipperary","Number","942"
"Total Population (Number)","2016","Borrisoleigh, North Tipperary","Number","679"
"Total Population (Number)","2016","Boyle, Roscommon","Number","2568"
"Total Population (Number)","2016","Bracknagh, Offaly","Number","212"
"Total Population (Number)","2016","Bray, Wicklow","Number","32600"
"Total Population (Number)","2016","Bree, Wexford","Number","193"
"Total Population (Number)","2016","Bridebridge, Cork","Number","187"
"Total Population (Number)","2016","Bridge End, Donegal","Number","454"
"Total Population (Number)","2016","Bridgetown, Wexford","Number","462"
"Total Population (Number)","2016","Brittas, South Dublin","Number","179"
"Total Population (Number)","2016","Broadford, Limerick","Number","276"
"Total Population (Number)","2016","Brosna, Kerry","Number","193"
"Total Population (Number)","2016","Brownstown, Kildare","Number","883"
"Total Population (Number)","2016","Bruff, Limerick","Number","803"
"Total Population (Number)","2016","Bruree, Limerick","Number","580"
"Total Population (Number)","2016","Bunclody-Carrickduff, Carlow and Wexford","Number","1984"
"Total Population (Number)","2016","Buncrana, Donegal","Number","6785"
"Total Population (Number)","2016","Bundoran, Donegal","Number","1963"
"Total Population (Number)","2016","Bun na Leaca, Donegal","Number","402"
"Total Population (Number)","2016","Bunratty, Clare","Number","349"
"Total Population (Number)","2016","Bunnyconnelan West, Mayo","Number","188"
"Total Population (Number)","2016","Burnfoot, Donegal","Number","450"
"Total Population (Number)","2016","Butlersbridge, Cavan","Number","276"
"Total Population (Number)","2016","Buttevant, Cork","Number","970"
"Total Population (Number)","2016","Bweeng, Cork","Number","524"
"Total Population (Number)","2016","Cabragh, Monaghan","Number","156"
"Total Population (Number)","2016","Caherconlish, Limerick","Number","1476"
"Total Population (Number)","2016","Cahir, South Tipperary","Number","3593"
"Total Population (Number)","2016","Cahirciveen, Kerry","Number","1041"
"Total Population (Number)","2016","Callan, Kilkenny","Number","2475"
"Total Population (Number)","2016","Calverstown, Kildare","Number","699"
"Total Population (Number)","2016","Camolin, Wexford","Number","415"
"Total Population (Number)","2016","Campile, Wexford","Number","448"
"Total Population (Number)","2016","Cappamore, Limerick","Number","620"
"Total Population (Number)","2016","Cappawhite, South Tipperary","Number","343"
"Total Population (Number)","2016","Cappoquin, Waterford","Number","699"
"Total Population (Number)","2016","Carlanstown, Meath","Number","664"
"Total Population (Number)","2016","Carlingford, Louth","Number","1445"
"Total Population (Number)","2016","Carlow, Carlow","Number","24272"
"Total Population (Number)","2016","Carndonagh, Donegal","Number","2471"
"Total Population (Number)","2016","Carnew, Wicklow","Number","1052"
"Total Population (Number)","2016","Carney, Sligo","Number","395"
"Total Population (Number)","2016","Carragh, Kildare","Number","966"
"Total Population (Number)","2016","Carraig Airt, Donegal","Number","222"
"Total Population (Number)","2016","Carrickmacross, Monaghan","Number","5032"
"Total Population (Number)","2016","Carrick-on-Shannon, Leitrim and Roscommon","Number","4062"
"Total Population (Number)","2016","Carrick-on-Suir, Tipperary","Number","5771"
"Total Population (Number)","2016","Carrigaline, Cork","Number","15770"
"Total Population (Number)","2016","Carrigallen, Leitrim","Number","387"
"Total Population (Number)","2016","Carrigans, Donegal","Number","331"
"Total Population (Number)","2016","Carrigkerry, Limerick","Number","184"
"Total Population (Number)","2016","Carrignavar, Cork","Number","519"
"Total Population (Number)","2016","Carrigtwohill, Cork","Number","5080"
"Total Population (Number)","2016","Carrowkeel, Donegal","Number","355"
"Total Population (Number)","2016","Cashel, Tipperary","Number","4422"
"Total Population (Number)","2016","Castlebar, Mayo","Number","12068"
"Total Population (Number)","2016","Castlebellingham/Kilsaran, Louth","Number","1126"
"Total Population (Number)","2016","Castleblayney, Monaghan","Number","3607"
"Total Population (Number)","2016","Castlebridge-Blackwater, Wexford","Number","1840"
"Total Population (Number)","2016","Castlecomer-Donaguile, Kilkenny","Number","1502"
"Total Population (Number)","2016","Castleconnell, Limerick","Number","2107"
"Total Population (Number)","2016","Castledermot, Kildare","Number","1475"
"Total Population (Number)","2016","Castle Ellis, Wexford","Number","339"
"Total Population (Number)","2016","Castlefin, Donegal","Number","705"
"Total Population (Number)","2016","Castlegregory, Kerry","Number","250"
"Total Population (Number)","2016","Castleisland, Kerry","Number","2486"
"Total Population (Number)","2016","Castlelyons, Cork","Number","374"
"Total Population (Number)","2016","Castlemagner, Cork","Number","281"
"Total Population (Number)","2016","Castlemaine, Kerry","Number","176"
"Total Population (Number)","2016","Castlemartyr, Cork","Number","1600"
"Total Population (Number)","2016","Castlepollard, Westmeath","Number","1163"
"Total Population (Number)","2016","Castlerea, Roscommon","Number","1992"
"Total Population (Number)","2016","Castletown, Laois","Number","436"
"Total Population (Number)","2016","Castletown Geoghegan, Westmeath","Number","141"
"Total Population (Number)","2016","Castletownbere, Cork","Number","860"
"Total Population (Number)","2016","Castletownroche, Cork","Number","454"
"Total Population (Number)","2016","Castletownsend, Cork","Number","196"
"Total Population (Number)","2016","Causeway, Kerry","Number","257"
"Total Population (Number)","2016","Cavan, Cavan","Number","10914"
"Total Population (Number)","2016","Ceanannas Mór (Kells), Meath","Number","6135"
"Total Population (Number)","2016","Celbridge, Kildare","Number","20288"
"Total Population (Number)","2016","Charlestown-Bellahy, Mayo and Sligo","Number","1033"
"Total Population (Number)","2016","Cheekpoint, Waterford","Number","318"
"Total Population (Number)","2016","Churchtown, Cork","Number","598"
"Total Population (Number)","2016","Cill Charthaigh, Donegal","Number","258"
"Total Population (Number)","2016","Cill Rónáin, Galway","Number","247"
"Total Population (Number)","2016","Clane, Kildare","Number","7280"
"Total Population (Number)","2016","Clara, Offaly","Number","3336"
"Total Population (Number)","2016","Claremorris, Mayo","Number","3687"
"Total Population (Number)","2016","Clarina, Limerick","Number","294"
"Total Population (Number)","2016","Clarinbridge, Galway","Number","384"
"Total Population (Number)","2016","Clashmore, Waterford","Number","252"
"Total Population (Number)","2016","Clifden, Galway","Number","1597"
"Total Population (Number)","2016","Cliffoney, Sligo","Number","492"
"Total Population (Number)","2016","Cloghan, Offaly","Number","601"
"Total Population (Number)","2016","Clogh-Chatsworth, Kilkenny","Number","344"
"Total Population (Number)","2016","Clogheen, South Tipperary","Number","478"
"Total Population (Number)","2016","Clogherhead, Louth","Number","2145"
"Total Population (Number)","2016","Clonakilty, Cork","Number","4592"
"Total Population (Number)","2016","Clonard, Meath","Number","347"
"Total Population (Number)","2016","Clonaslee, Laois","Number","566"
"Total Population (Number)","2016","Clonbullogue, Offaly","Number","439"
"Total Population (Number)","2016","Clonee Village, Meath","Number","826"
"Total Population (Number)","2016","Clondrohid, Cork","Number","179"
"Total Population (Number)","2016","Clondulane, Cork","Number","417"
"Total Population (Number)","2016","Clonegal, Carlow and Wexford","Number","278"
"Total Population (Number)","2016","Clones, Monaghan","Number","1680"
"Total Population (Number)","2016","Clongeen, Wexford","Number","267"
"Total Population (Number)","2016","Clonlara, Clare","Number","713"
"Total Population (Number)","2016","Clonmany, Donegal","Number","428"
"Total Population (Number)","2016","Clonmel, Tipperary","Number","17140"
"Total Population (Number)","2016","Clonmellon, Westmeath","Number","664"
"Total Population (Number)","2016","Clonroche, Wexford","Number","326"
"Total Population (Number)","2016","Clontibret, Monaghan","Number","172"
"Total Population (Number)","2016","Cloontuskert, Roscommon","Number","171"
"Total Population (Number)","2016","Clonygowan, Offaly","Number","198"
"Total Population (Number)","2016","Cloonfad, Roscommon","Number","308"
"Total Population (Number)","2016","Cloughduv, Cork","Number","360"
"Total Population (Number)","2016","Cloughjordan, North Tipperary","Number","612"
"Total Population (Number)","2016","Cloyne, Cork","Number","1803"
"Total Population (Number)","2016","Cluain Bú, Galway","Number","350"
"Total Population (Number)","2016","Cnoc na Muirleog, Donegal","Number","396"
"Total Population (Number)","2016","Coachford, Cork","Number","408"
"Total Population (Number)","2016","Cobh, Cork","Number","12800"
"Total Population (Number)","2016","Coill Dubh (Blackwood), Kildare","Number","746"
"Total Population (Number)","2016","Collinstown, Westmeath","Number","356"
"Total Population (Number)","2016","Collon, Louth","Number","896"
"Total Population (Number)","2016","Collooney, Sligo","Number","1610"
"Total Population (Number)","2016","Cong, Galway and Mayo","Number","145"
"Total Population (Number)","2016","Conna, Cork","Number","526"
"Total Population (Number)","2016","Convoy, Donegal","Number","1526"
"Total Population (Number)","2016","Coolaney, Sligo","Number","990"
"Total Population (Number)","2016","Coolboy, Wicklow","Number","267"
"Total Population (Number)","2016","Coolgreany, Wexford","Number","376"
"Total Population (Number)","2016","Cootehall, Roscommon","Number","184"
"Total Population (Number)","2016","Cootehill, Cavan","Number","1853"
"Total Population (Number)","2016","Cork city and suburbs, Cork","Number","208669"
"Total Population (Number)","2016","Corofin, Clare","Number","776"
"Total Population (Number)","2016","Corrandulla, Galway","Number","241"
"Total Population (Number)","2016","Corrofin, Galway","Number","627"
"Total Population (Number)","2016","Courtbrack, Cork","Number","194"
"Total Population (Number)","2016","Courtmacsherry, Cork","Number","590"
"Total Population (Number)","2016","Courtown Harbour-Riverchapel-Ardamine, Wexford","Number","3591"
"Total Population (Number)","2016","Cratloe, Clare","Number","692"
"Total Population (Number)","2016","Craughwell, Galway","Number","769"
"Total Population (Number)","2016","Creeslough, Donegal","Number","393"
"Total Population (Number)","2016","Crinkle, Offaly","Number","682"
"Total Population (Number)","2016","Croagh, Limerick","Number","216"
"Total Population (Number)","2016","Cromane, Kerry","Number","116"
"Total Population (Number)","2016","Crookstown, Cork","Number","245"
"Total Population (Number)","2016","Croom, Limerick","Number","1159"
"Total Population (Number)","2016","Crossakeel, Meath","Number","181"
"Total Population (Number)","2016","Crossbarry, Cork","Number","368"
"Total Population (Number)","2016","Crosshaven-Churchbay, Cork","Number","2577"
"Total Population (Number)","2016","Crossmolina, Mayo","Number","1044"
"Total Population (Number)","2016","Crusheen, Clare","Number","543"
"Total Population (Number)","2016","Culdaff, Donegal","Number","237"
"Total Population (Number)","2016","Daingean, Offaly","Number","1077"
"Total Population (Number)","2016","Danescastle, Wexford","Number","258"
"Total Population (Number)","2016","Delvin, Westmeath","Number","740"
"Total Population (Number)","2016","Derrinturn, Kildare","Number","1602"
"Total Population (Number)","2016","Donabate, Fingal","Number","7443"
"Total Population (Number)","2016","Donard, Wicklow","Number","196"
"Total Population (Number)","2016","Donaskeigh, South Tipperary","Number","144"
"Total Population (Number)","2016","Donegal, Donegal","Number","2618"
"Total Population (Number)","2016","Doneraile, Cork","Number","780"
"Total Population (Number)","2016","Donore, Meath","Number","760"
"Total Population (Number)","2016","Doohamlat, Monaghan","Number","257"
"Total Population (Number)","2016","Doohooma, Mayo","Number","112"
"Total Population (Number)","2016","Doon, Limerick","Number","516"
"Total Population (Number)","2016","Doonbeg, Clare","Number","262"
"Total Population (Number)","2016","Drangan, South Tipperary","Number","145"
"Total Population (Number)","2016","Drimoleague, Cork","Number","451"
"Total Population (Number)","2016","Drogheda, Louth","Number","40956"
"Total Population (Number)","2016","Droichead Nua (Newbridge), Kildare","Number","22742"
"Total Population (Number)","2016","Dromahair, Leitrim","Number","808"
"Total Population (Number)","2016","Dromina, Cork","Number","275"
"Total Population (Number)","2016","Dromineer, North Tipperary","Number","102"
"Total Population (Number)","2016","Dromiskin, Louth","Number","1195"
"Total Population (Number)","2016","Drommahane, Cork","Number","959"
"Total Population (Number)","2016","Dromore West, Sligo","Number","227"
"Total Population (Number)","2016","Drumcollogher, Limerick","Number","518"
"Total Population (Number)","2016","Drumconrath, Meath","Number","345"
"Total Population (Number)","2016","Drumkeen, Donegal","Number","193"
"Total Population (Number)","2016","Drumkeeran, Leitrim","Number","220"
"Total Population (Number)","2016","Drumlish, Longford","Number","931"
"Total Population (Number)","2016","Drumod, Leitrim","Number","555"
"Total Population (Number)","2016","Drumshanbo, Leitrim","Number","902"
"Total Population (Number)","2016","Drumsna, Leitrim","Number","240"
"Total Population (Number)","2016","Duagh, Kerry","Number","222"
"Total Population (Number)","2016","Dublin city and suburbs, Dublin","Number","1173179"
"Total Population (Number)","2016","Duleek, Meath","Number","4219"
"Total Population (Number)","2016","Dunboyne, Meath","Number","7272"
"Total Population (Number)","2016","Duncannon, Wexford","Number","305"
"Total Population (Number)","2016","Duncormick, Wexford","Number","116"
"Total Population (Number)","2016","Dundalk, Louth","Number","39004"
"Total Population (Number)","2016","Dunderrow, Cork","Number","208"
"Total Population (Number)","2016","Dunderry, Meath","Number","170"
"Total Population (Number)","2016","Dundrum, South Tipperary","Number","165"
"Total Population (Number)","2016","Dunfanaghy, Donegal","Number","298"
"Total Population (Number)","2016","Dungarvan, Waterford","Number","9227"
"Total Population (Number)","2016","Dunhill, Waterford","Number","216"
"Total Population (Number)","2016","Dunkineely, Donegal","Number","361"
"Total Population (Number)","2016","Dunlavin, Wicklow","Number","838"
"Total Population (Number)","2016","Dunleer, Louth","Number","1822"
"Total Population (Number)","2016","Dunmanway, Cork","Number","1655"
"Total Population (Number)","2016","Dunmore, Galway","Number","600"
"Total Population (Number)","2016","Dunmore East, Waterford","Number","1808"
"Total Population (Number)","2016","Dunshaughlin, Meath","Number","4035"
"Total Population (Number)","2016","Durrow, Laois","Number","835"
"Total Population (Number)","2016","Durrus, Cork","Number","305"
"Total Population (Number)","2016","Easky, Sligo","Number","239"
"Total Population (Number)","2016","Edenderry, Offaly","Number","7359"
"Total Population (Number)","2016","Elphin, Roscommon","Number","565"
"Total Population (Number)","2016","Emly, South Tipperary","Number","302"
"Total Population (Number)","2016","Emo, Laois","Number","257"
"Total Population (Number)","2016","Emyvale, Monaghan","Number","701"
"Total Population (Number)","2016","Enfield, Meath","Number","3239"
"Total Population (Number)","2016","Ennis, Clare","Number","25276"
"Total Population (Number)","2016","Enniscorthy, Wexford","Number","11381"
"Total Population (Number)","2016","Enniskerry, Wicklow","Number","1889"
"Total Population (Number)","2016","Ennistymon, Clare","Number","1045"
"Total Population (Number)","2016","Erril, Laois","Number","182"
"Total Population (Number)","2016","Eyrecourt, Galway","Number","252"
"Total Population (Number)","2016","Fahan, Donegal","Number","588"
"Total Population (Number)","2016","Farran, Cork","Number","345"
"Total Population (Number)","2016","Feakle, Clare","Number","105"
"Total Population (Number)","2016","Fedamore, Limerick","Number","329"
"Total Population (Number)","2016","Fenit, Kerry","Number","538"
"Total Population (Number)","2016","Fennagh, Carlow","Number","402"
"Total Population (Number)","2016","Ferbane, Offaly","Number","1191"
"Total Population (Number)","2016","Fermoy, Cork","Number","6585"
"Total Population (Number)","2016","Ferns, Wexford","Number","1415"
"Total Population (Number)","2016","Fethard, South Tipperary","Number","1545"
"Total Population (Number)","2016","Fethard-on-Sea, Wexford","Number","311"
"Total Population (Number)","2016","Fiddown, Kilkenny","Number","369"
"Total Population (Number)","2016","Fieries, Kerry","Number","558"
"Total Population (Number)","2016","Fountainstown, Cork","Number","993"
"Total Population (Number)","2016","Foxford, Mayo","Number","1315"
"Total Population (Number)","2016","Foynes, Limerick","Number","520"
"Total Population (Number)","2016","Freemount, Cork","Number","159"
"Total Population (Number)","2016","Frenchpark, Roscommon","Number","454"
"Total Population (Number)","2016","Freshford, Kilkenny","Number","662"
"Total Population (Number)","2016","Galbally, Limerick","Number","251"
"Total Population (Number)","2016","Galway City and Suburbs, Galway","Number","79934"
"Total Population (Number)","2016","Garristown, Fingal","Number","509"
"Total Population (Number)","2016","Geashill, Offaly","Number","395"
"Total Population (Number)","2016","Glanworth, Cork","Number","603"
"Total Population (Number)","2016","Glassan, Westmeath","Number","207"
"Total Population (Number)","2016","Glasslough, Monaghan","Number","453"
"Total Population (Number)","2016","Glen, Limerick","Number","450"
"Total Population (Number)","2016","Glenamaddy, Galway","Number","480"
"Total Population (Number)","2016","Gleann Cholm Cille, Donegal","Number","217"
"Total Population (Number)","2016","Glenbeigh, Kerry","Number","308"
"Total Population (Number)","2016","Glencullen, Dún Laoghaire- Rathdown","Number","238"
"Total Population (Number)","2016","Glenealy, Wicklow","Number","694"
"Total Population (Number)","2016","Gleneely, Donegal","Number","236"
"Total Population (Number)","2016","Glengarriff, Cork","Number","138"
"Total Population (Number)","2016","Glenties, Donegal","Number","805"
"Total Population (Number)","2016","Glenville, Cork","Number","531"
"Total Population (Number)","2016","Glin, Limerick","Number","576"
"Total Population (Number)","2016","Gneevgullia, Kerry","Number","256"
"Total Population (Number)","2016","Gob an Choire, Mayo","Number","238"
"Total Population (Number)","2016","Golden, South Tipperary","Number","267"
