Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
30/10/2018,"HOUSE LOCATED AT ROSIE'S BAR, DRUMKEEN, CO DONEGAL",,Donegal,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"DOOYORK, SKERRIES, CO DUBLIN",,Dublin,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2013,"3 Lower Marian Road, Boyle",,Roscommon,"€40,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/12/2011,"Ballinakill, Arklow",,Wicklow,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/06/2015,"BALLYMAKELLETT, RAVENSDALE, DUNDALK",,Louth,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2011,"Kellystown, Adamstown, Enniscorthy",,Wexford,"€175,496.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
16/11/2010,"Tullybeg House, Tullybeg, Rahan  Tullamore",,Offaly,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2014,"BLOOMFIELD, 29 HOWTH RD, CLONTARF",Dublin 3,Dublin,"€780,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2010,"116 Seabury Lawns, Mornington, Duleek",,Meath,"€189,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/08/2019,"15 MCKEE AVE, FINGLAS, DUBLIN 11",Dublin 11,Dublin,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2017,"27 HILLVIEW HEIGHTS, CLANE, KILDARE",,Kildare,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2011,"28 Rahylin Glebe, Ballybane, Galway",,Galway,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2013,"14 Muing Estate, Tralee",,Kerry,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"31 C LANSDOWNE VALLEY, SLIEVEBLOOM RD, DRIMNAGH DUBLIN 12",Dublin 12,Dublin,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2015,"ASGARD APARTMENT COMPLEX, THE QUAY, WESTPORT",,Mayo,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"DRUMDOO, MOHILL, LEITRIM",,Leitrim,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"RANNAGH, LISCANNOR, CO CLARE",,Clare,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2019,"ARDNACLOGHY, CARRIGALINE, CORK",,Cork,"€377,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2010,"Gortnaskeha Commons, Ballybunion",,Kerry,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2019,"5 SEABURY LAWNS, MORNINGTON, CO MEATH",,Meath,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2015,"3 GORT NA BRO, MILLARS LANE, RAHOON",,Galway,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2018,"42 LONGWOOD AVENUE, SOUTH CIRCULAR ROAD, PORTOBELLO",Dublin 8,Dublin,"€1,025,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2018,"4 CENTENARY ROW, OLD YOUGHAL RD, CORK",,Cork,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"LISSYEGAN, AHASCRAGH, BALLINASLOE",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"6 ST MARYS COURT, DUNBOYNE, MEATH",,Meath,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2018,"RUANMORE, WELLS, GOREY",,Wexford,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2016,"1 RIVERVIEW, BEACH ROAD, PASSAGE WEST",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"APT 86 THE LIGHTHOUSE, CHURCH RD, EAST WALL",Dublin 3,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2021,"KYLEBEG, CHURCH ST, BANAGHER",,Offaly,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"21 CASTLELAND COURT, BALBRIGGAN, DUBLIN",,Dublin,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2018,"VICTORIA LODGE, YEOMANSTOWN STUD, YEOMANSTOWN",,Kildare,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/07/2019,"24 WINTERS HILL, CORK, CORK",,Cork,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2020,"1 FIVE OAKS VILLAGE, DUBLIN RD, DROGHEDA",,Louth,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2021,"20 THE DRIVE, DRYNAM HALL, KINSEALY",,Dublin,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2020,"KYLE, RATHMANNA, THURLES",,Tipperary,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2010,"67  Sli Gheal, Ballymoneen Road, Knocknacarra",,Galway,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2013,"LISMORE, RAHEENAGURREN WEST, GOREY",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2014,"APT 14, OLD MILL, SIXMILEBRIDGE",,Clare,"€12,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"21 The Lawn, Hansfield Wood, Hansfield  Clonsilla",Dublin 15,Dublin,"€242,246.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/07/2015,"9 THE OLD SCHOOLE HOUSE, SAGGART, DUBLIN",Dublin 24,Dublin,"€112,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2019,"30 FOYNES COURT, LONGFORD, LONGFORD",,Longford,"€210,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
08/11/2021,"85 THE ATRIUM, BEECHWOOD COURT, STILLORGAN",,Dublin,"€379,408.91",No,No,Second-Hand Dwelling house /Apartment,
07/12/2020,"29 RIVERBANK, EASKEY, SLIGO",,Sligo,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2016,"6 DALKEY COURT, BARNHILL RD, DALKEY",,Dublin,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"33 MARINE VILLAGE, BALLINA KILLALOE, TIPPERARY",,Tipperary,"€405,100.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2019,"82 BAUNOGE, MOUNT PLEASANT, LOUGHREA",,Galway,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"5-7  9-13  15  17 & 19, Somerton Walk (incl.), Newcastle Road  Lucan",,Dublin,"€2,834,266.16",No,Yes,New Dwelling house /Apartment,
31/01/2015,"7 THE GREEN, BALLYFOYLE, KILKENNY",,Kilkenny,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2018,"294 ST ATTRACTA RD, CABRA, DUBLIN 7",Dublin 7,Dublin,"€125,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
28/04/2015,"250 The Willows, Carrington, Santry",Dublin 9,Dublin,"€147,132.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/02/2020,"APT 31, DUNARAS VILLAGE, BISHOP ODONNELL RD",,Galway,"€159,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2014,"41 THE COURTYARD, FAIR HILL, KILLARNEY",,Kerry,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/03/2019,"APT 4 BLOCK 3, TUS ABHAILE, TIME SQUARE BALLINCOLLIG",,Cork,"€208,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2015,"12 CORRAIN BHEARU, COIS BHEARU, ATHY",,Kildare,"€236,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/02/2021,"26 TICKNOCK PARK, TICKNOCK HILL, BLACKGLEN RD DUBLIN 18",Dublin 18,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2015,"18 The Laurels, Avourwen Meadows, Drogheda",,Meath,"€163,900.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/10/2021,"8 The Lawn, Ledwill Park, Kilcock",,Kildare,"€314,977.97",No,Yes,New Dwelling house /Apartment,
15/08/2011,"141 The Hermitage, Dublin Road, Portlaoise",,Laois,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2021,"1 MAPLE HALL, MOUNT ST ANNES, MILLTOWN",Dublin 6,Dublin,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2012,"11 Stonewell, Brigown, Mitchelstown",,Cork,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2015,"6 PEMBROKE COTTAGES, BOOTERSTOWN, DUBLIN",,Dublin,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2020,"8 CHESTNUT MEWS, CLUAIN ÁRD, COBH",,Cork,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2021,"125 CHESTNUT GROVE, CASTLEBAR, MAYO",,Mayo,"€100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
13/06/2014,"Old Kasper, Manor Avenue, Greystones",,Wicklow,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"2 CNOC VIEW, LARTIGUE RD, BALLYBUNNION",,Kerry,"€176,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2011,"50 St. Michael's Road, Longford Town",,Longford,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2015,"COOLBALLINTAGGART, TINAHELY, WICKLOW",,Wicklow,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/02/2021,"58 BRIARFIELD RD, KILBARRACK, DUBLIN 5",Dublin 5,Dublin,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2020,"12A LAGHTAGOONA, COROFIN, CO CLARE",,Clare,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2018,"10 BRICKFIELD GARDENS, DUBLIN RD, DUNDALK",,Louth,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2021,"59 FARNEYHOOGAN, ATHLONE RD, LONGFORD",,Longford,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2017,"40 MOREHAMPTON SQ, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€262,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"55 WOODVIEW LAWN, SALEEN, CLOYNE",,Cork,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2021,"298 SYCAMORE PARK, EDENDERRY, OFFALY",,Offaly,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2010,"10 Marlfield Green, Kiltipper, Tallaght",,Dublin,"€151,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2010,"21 Willsbrook Crescent, Lucan, Co. Dublin",,Dublin,"€262,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2020,"36 Forgelands, Old Forge Road, Enniscorthy",,Wexford,"€189,427.31",No,Yes,New Dwelling house /Apartment,
31/03/2015,"10 WOODSTOWN DALE, KNOCKLYON, DUBLIN 16",Dublin 16,Dublin,"€437,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2017,"24 PARK SQ, GRANGE RATH, DROGHEDA",,Meath,"€228,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2021,"4 WILTON GARDENS, WILTON, CORK",,Cork,"€401,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2019,"60 GLENDINE HEIGHTS, CASTLECOMER ROAD, KILKENNY",,Kilkenny,"€292,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2015,"CARRIG COTTAGE, DRINAGH EAST, DUNMANWAY",,Cork,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2020,"1 The Green, Bellingsmore, Kilmartin",,Dublin,"€352,422.91",No,Yes,New Dwelling house /Apartment,
05/05/2017,"THE SHOP, MAIN STREET, STONEYFORD",,Kilkenny,"€22,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2018,"Apartment 112  Leona Block, Honeypark, Dun Laoghaire",,Dublin,"€361,233.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/07/2014,"THE HAVEN, KILMACANOGUE",,Wicklow,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2020,"67 GLEANN NA RIOGH DRIVE, NAAS, CO KILDARE",,Kildare,"€201,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2013,"Corbetstown, Killucan",,Meath,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2015,"BRUHENNY, BOREEN DEARG, RATHPEACON",,Cork,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"17 PHILIPSVALE, DAINGEAN, OFFALY",,Offaly,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2021,"8 THE GREEN, CARRICKMINES MANOR, CARRICKMINES DUBLIN 18",Dublin 18,Dublin,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2021,"NEWCASTLE, ENFIELD, MEATH",,Meath,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2021,"BALLAGH, BUSHYPARK, GALWAY",,Galway,"€1,493,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2013,"42 Caislean na hAbhann, Brookfield, Castletroy",,Limerick,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2019,"4 FERNLEIGH, CHURCH RD, MILFORD",,Donegal,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2017,"11 ASHTON PARK, BLACKROCK RD, CORK",,Cork,"€166,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2018,"13 HUGHES RD SOUTH, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2019,"CLOUGHBALLY UPPER, MULLAGH, CO. CAVAN",,Cavan,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2020,"144 CHERRYFIELD RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2017,"8 temple view, neptune house, temple crescent",,Dublin,"€881,057.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/07/2016,"NO 1  WOODLANDS CLOSE, WOODLANDS, BIRR",,Offaly,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2016,"18 EDEN PARK RD, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,"€770,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2011,"6 Cleburne Mews, Old Quarter, Ballincollig",,Cork,"€145,495.70",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/09/2017,"19 THOMOND VILLAGE, BALLYGLENNAN, CRATLOE",,Limerick,"€40,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2016,"CLOONCAN, CASTLEREA, ROSCOMMON",,Roscommon,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2019,"50  Larkfield Heath, Clay Farm, Leopardstown",,Dublin,"€502,203.00",No,Yes,New Dwelling house /Apartment,
09/10/2015,"50 WYCKHAM PLACE, WYCKHAM BYPASS, DUNDRUM DUBLIN 16",Dublin 16,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2014,"41 Cuchulainn Heights, Carlingford",,Louth,"€127,753.29",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
16/11/2016,"AVOCA, COVE RD, TRAMORE",,Waterford,"€228,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2020,"45 RIVERCRESENT, VIRGINIA, CAVAN",,Cavan,"€316,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2018,"182 LOWER KIMMAGE ROAD, DUBLIN 6W",,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"18 MARLSTONE MANOR, THURLES, TIPPERARY",,Tipperary,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2011,"35 Dunsink Park, Finglas, Dublin 11",Dublin 11,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2020,"2 Clone West, Monamolin, Gorey",,Wexford,"€61,674.00",No,Yes,New Dwelling house /Apartment,
21/05/2021,"24 Gort an Ghabhann, Claregalway",,Galway,"€232,331.88",No,Yes,New Dwelling house /Apartment,
23/11/2018,"14 THE CRESCENT, PRIORY COURT, WATERGRASSHILL",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2019,"6 BALLINCUR PARK, KINNITTY, OFFALY",,Offaly,"€132,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2019,"58 THE WOODS, GLOUNTHAUNE, CORK",,Cork,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2021,"GLENCOE, THE HARBOUR, NORTH BEACH",,Wicklow,"€580,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2018,"35 SHANBOLEY RD, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,"€417,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"DOON WEST, BALLYBUNION, CO. KERRY",,Kerry,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2020,"BARNABOY, LAWRENCETOWN, BALLINASLOE",,Galway,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2011,"30 Cowper Road, Rathmines, Dublin 6",,Dublin,"€1,650,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"15 DRYNAM DR, DRYNAM HALL, KETTLES LANE",,Dublin,"€327,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2018,"TOOREENAGOWAN, KNOCKNAGOSHEL, KERRY",,Kerry,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2011,"Tall Timbers, Rathcolman, Mullingar",,Westmeath,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2020,"48 COLLEGE PARK, LETTERKENNY, DONEGAL",,Donegal,"€122,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2018,"12 CASTLECOURT APT, RATHFARNHAM, DUBLIN 14",,Dublin,"€402,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2019,"13 WADELAI RD, BALLYMUN, DUBLIN 11",Dublin 11,Dublin,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2019,"110 RATH LODGE, ASHBOURNE, MEATH",,Meath,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2021,"COOLAGH, ABBEYSIDE, DUNGARVAN",,Waterford,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2015,"17 DARTRY PARK, COOTEHILL, CAVAN",,Cavan,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2013,"3 Finvola Park, Dunfanaghy",,Donegal,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2020,"BALLINGARDEN, PARKE, CASTLEBAR",,Mayo,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2018,"15 RIVERCOURT, GRATTAN QUAY, WATERFORD",,Waterford,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2014,"31 ARD NA RI, CARRIGALINE, CORK",,Cork,"€226,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2017,"LANDSCAPE, PASSAGE RD, WATERFORD",,Waterford,"€205,200.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2014,"123 LALLY RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2014,"11 CAHIRDOWN WOOD, LISTOWEL, KERRY",,Kerry,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2020,"58 MAIN ST, BALLYBAY, MONAGHAN",,Monaghan,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"2 Parkside, Westgate, Bishopstown",,Cork,"€396,476.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
02/02/2015,"21 THE OAKS, RIDGEWOOD, FOREST RD",,Dublin,"€237,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2017,"CASTLEGAL, CLIFFANY, CO. SLIGO",,Sligo,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2017,"Apt 12 New Bancroft Place, Main Street, Tallaght",Dublin 24,Dublin,"€193,946.10",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2012,"Apartment 1B, The Old Presbytery  Cathedral Place, Killarney",,Kerry,"€193,832.59",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
