DateofSale(yyyy-mm-dd),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription
2017-10-25,"117 hunters green, pollerton, carlow",,Carlow,162000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-12-20,"48 silken vale, maynooth",,Kildare,205000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-08,"nicholastown, togher, drogheda",,Louth,123500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-05-02,"harvest, drominboy lower, lisnagry",,Limerick,640000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-08-08,"46 thornfield sq, clondalkin, dublin",Dublin 22,Dublin,95000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-03-28,"aghavilla, carrigallen, leitrim",,Leitrim,32000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-12-17,"no. 15 the meadows, cahereen heights, castleisland",,Kerry,60000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2018-12-20,"1 ardkeen, dunbar road, wicklow town",,Wicklow,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-01-24,"9 springfield orchard, victoria terrace, ennis",,Clare,63500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-18,"garraha, whiddy island, bantry",,Cork,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-06-28,"annahale, dundalk rd, castleblaney",,Monaghan,175000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-02-13,"292 moness cottages, speenoge, burt",,Donegal,73000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-06,"3 woodbrook park, riverwood rd, castleknock dublin 15",Dublin 15,Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-29,"70 rathborne court, ashtown, dublin 15",Dublin 15,Dublin,435000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-04-21,"340 tonlegee rd, raheny, dublin 5",Dublin 5,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-06-01,"apartment 44 waterside drive, wateside swords, malahide",,Dublin,195555.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-09-16,"station rd, castletown geoghegan, co westmeath",,Westmeath,260000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-07-22,"38 an riasc, farnham drive, finglas",Dublin 11,Dublin,260000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2011-09-05,"3 hydro court, kilkee",,Clare,41763.79,No,No,Second-Hand Dwelling house /Apartment,
2017-05-11,"apt 4, 1 jervis st, dublin 1",Dublin 1,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-07-20,"25 the meadows, point road, dundalk",,Louth,140356.71,No,No,Second-Hand Dwelling house /Apartment,
2020-06-11,"5 craike house, francis st, dublin 8",Dublin 8,Dublin,210000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-03-08,"2 ard na greine, tivoli rd, dun laoghaire",,Dublin,861000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-06-20,"33 rivergrove, oranmore",,Galway,139100.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-30,"house located at rosie's bar, drumkeen, co donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-19,"dooyork, skerries, co dublin",,Dublin,505000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-09-18,"3 lower marian road, boyle",,Roscommon,40000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2011-12-19,"ballinakill, arklow",,Wicklow,75000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-06-23,"ballymakellett, ravensdale, dundalk",,Louth,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-06-17,"kellystown, adamstown, enniscorthy",,Wexford,175496.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2010-11-16,"tullybeg house, tullybeg, rahan  tullamore",,Offaly,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-02,"bloomfield, 29 howth rd, clontarf",Dublin 3,Dublin,780000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-10-08,"116 seabury lawns, mornington, duleek",,Meath,189427.31,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2019-08-07,"15 mckee ave, finglas, dublin 11",Dublin 11,Dublin,246000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-11-30,"27 hillview heights, clane, kildare",,Kildare,305000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-08-11,"28 rahylin glebe, ballybane, galway",,Galway,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-08-08,"14 muing estate, tralee",,Kerry,40000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-07-18,"31 c lansdowne valley, slievebloom rd, drimnagh dublin 12",Dublin 12,Dublin,157500.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-28,"asgard apartment complex, the quay, westport",,Mayo,650000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-06-30,"drumdoo, mohill, leitrim",,Leitrim,75000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-16,"rannagh, liscannor, co clare",,Clare,85000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-10-02,"ardnacloghy, carrigaline, cork",,Cork,377500.0,No,No,Second-Hand Dwelling house /Apartment,
2010-07-21,"gortnaskeha commons, ballybunion",,Kerry,70000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-08-21,"5 seabury lawns, mornington, co meath",,Meath,205000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-08-26,"3 gort na bro, millars lane, rahoon",,Galway,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-01-26,"42 longwood avenue, south circular road, portobello",Dublin 8,Dublin,1025000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-26,"4 centenary row, old youghal rd, cork",,Cork,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-10-27,"lissyegan, ahascragh, ballinasloe",,Galway,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-12-20,"6 st marys court, dunboyne, meath",,Meath,260000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-12-10,"ruanmore, wells, gorey",,Wexford,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-06-07,"1 riverview, beach road, passage west",,Cork,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-03-10,"apt 86 the lighthouse, church rd, east wall",Dublin 3,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-03-29,"kylebeg, church st, banagher",,Offaly,370000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-06,"21 castleland court, balbriggan, dublin",,Dublin,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-18,"victoria lodge, yeomanstown stud, yeomanstown",,Kildare,90000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-16,"24 winters hill, cork, cork",,Cork,90000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-10-02,"1 five oaks village, dublin rd, drogheda",,Louth,335000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-04-27,"20 the drive, drynam hall, kinsealy",,Dublin,355000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-04,"kyle, rathmanna, thurles",,Tipperary,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-07-19,"67  sli gheal, ballymoneen road, knocknacarra",,Galway,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-06,"lismore, raheenagurren west, gorey",,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-06-16,"apt 14, old mill, sixmilebridge",,Clare,12000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-16,"21 the lawn, hansfield wood, hansfield  clonsilla",Dublin 15,Dublin,242246.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2015-07-13,"9 the old schoole house, saggart, dublin",Dublin 24,Dublin,112500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-08-26,"30 foynes court, longford, longford",,Longford,210000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2021-11-08,"85 the atrium, beechwood court, stillorgan",,Dublin,379408.91,No,No,Second-Hand Dwelling house /Apartment,
2020-12-07,"29 riverbank, easkey, sligo",,Sligo,195000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-19,"6 dalkey court, barnhill rd, dalkey",,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-02-03,"33 marine village, ballina killaloe, tipperary",,Tipperary,405100.0,No,No,Second-Hand Dwelling house /Apartment,
2019-09-09,"82 baunoge, mount pleasant, loughrea",,Galway,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-12-13,"5-7  9-13  15  17 & 19, somerton walk (incl.), newcastle road  lucan",,Dublin,2834266.16,No,Yes,New Dwelling house /Apartment,
2015-01-31,"7 the green, ballyfoyle, kilkenny",,Kilkenny,255000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-26,"294 st attracta rd, cabra, dublin 7",Dublin 7,Dublin,125000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-04-28,"250 the willows, carrington, santry",Dublin 9,Dublin,147132.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-02-12,"apt 31, dunaras village, bishop odonnell rd",,Galway,159000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-08-13,"41 the courtyard, fair hill, killarney",,Kerry,133000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-18,"apt 4 block 3, tus abhaile, time square ballincollig",,Cork,208000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-06-24,"12 corrain bhearu, cois bhearu, athy",,Kildare,236000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-02-17,"26 ticknock park, ticknock hill, blackglen rd dublin 18",Dublin 18,Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-12-04,"18 the laurels, avourwen meadows, drogheda",,Meath,163900.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-10-18,"8 the lawn, ledwill park, kilcock",,Kildare,314977.97,No,Yes,New Dwelling house /Apartment,
2011-08-15,"141 the hermitage, dublin road, portlaoise",,Laois,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-31,"1 maple hall, mount st annes, milltown",Dublin 6,Dublin,475000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-10-10,"11 stonewell, brigown, mitchelstown",,Cork,175000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-07,"6 pembroke cottages, booterstown, dublin",,Dublin,377000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-09-25,"8 chestnut mews, cluain árd, cobh",,Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-05-24,"125 chestnut grove, castlebar, mayo",,Mayo,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2014-06-13,"old kasper, manor avenue, greystones",,Wicklow,640000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-01-17,"2 cnoc view, lartigue rd, ballybunnion",,Kerry,176000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-04-22,"50 st. michael's road, longford town",,Longford,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-12-19,"coolballintaggart, tinahely, wicklow",,Wicklow,27500.0,No,No,Second-Hand Dwelling house /Apartment,
2021-02-11,"58 briarfield rd, kilbarrack, dublin 5",Dublin 5,Dublin,281000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-08-28,"12a laghtagoona, corofin, co clare",,Clare,196000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-09-20,"10 brickfield gardens, dublin rd, dundalk",,Louth,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-30,"59 farneyhoogan, athlone rd, longford",,Longford,35000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-10-17,"40 morehampton sq, dublin 4, dublin",Dublin 4,Dublin,262000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2017-09-25,"55 woodview lawn, saleen, cloyne",,Cork,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-11-22,"298 sycamore park, edenderry, offaly",,Offaly,249000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-05-06,"10 marlfield green, kiltipper, tallaght",,Dublin,151000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-02-01,"21 willsbrook crescent, lucan, co. dublin",,Dublin,262500.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-09,"36 forgelands, old forge road, enniscorthy",,Wexford,189427.31,No,Yes,New Dwelling house /Apartment,
2015-03-31,"10 woodstown dale, knocklyon, dublin 16",Dublin 16,Dublin,437000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-08-11,"24 park sq, grange rath, drogheda",,Meath,228000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-17,"4 wilton gardens, wilton, cork",,Cork,401000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-17,"60 glendine heights, castlecomer road, kilkenny",,Kilkenny,292000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-06-10,"carrig cottage, drinagh east, dunmanway",,Cork,85000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-11,"1 the green, bellingsmore, kilmartin",,Dublin,352422.91,No,Yes,New Dwelling house /Apartment,
2017-05-05,"the shop, main street, stoneyford",,Kilkenny,22500.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-05,"apartment 112  leona block, honeypark, dun laoghaire",,Dublin,361233.48,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2014-07-22,"the haven, kilmacanogue",,Wicklow,335000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-10-21,"67 gleann na riogh drive, naas, co kildare",,Kildare,201000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-11-06,"corbetstown, killucan",,Meath,262000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-30,"bruhenny, boreen dearg, rathpeacon",,Cork,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-06-01,"17 philipsvale, daingean, offaly",,Offaly,133000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-09,"8 the green, carrickmines manor, carrickmines dublin 18",Dublin 18,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-06-14,"newcastle, enfield, meath",,Meath,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-06-09,"ballagh, bushypark, galway",,Galway,1493000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-09-10,"42 caislean na habhann, brookfield, castletroy",,Limerick,75000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-28,"4 fernleigh, church rd, milford",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-06-07,"11 ashton park, blackrock rd, cork",,Cork,166000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-26,"13 hughes rd south, walkinstown, dublin 12",Dublin 12,Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-22,"cloughbally upper, mullagh, co. cavan",,Cavan,390000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-02,"144 cherryfield rd, walkinstown, dublin 12",Dublin 12,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-08-09,"8 temple view, neptune house, temple crescent",,Dublin,881057.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2016-07-01,"no 1  woodlands close, woodlands, birr",,Offaly,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-11-18,"18 eden park rd, goatstown, dublin 14",Dublin 14,Dublin,770000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-11-17,"6 cleburne mews, old quarter, ballincollig",,Cork,145495.7,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-09-28,"19 thomond village, ballyglennan, cratloe",,Limerick,40500.0,No,No,Second-Hand Dwelling house /Apartment,
2016-04-22,"clooncan, castlerea, roscommon",,Roscommon,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-01-15,"50  larkfield heath, clay farm, leopardstown",,Dublin,502203.0,No,Yes,New Dwelling house /Apartment,
2015-10-09,"50 wyckham place, wyckham bypass, dundrum dublin 16",Dublin 16,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-07-08,"41 cuchulainn heights, carlingford",,Louth,127753.29,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2016-11-16,"avoca, cove rd, tramore",,Waterford,228000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-08,"45 rivercresent, virginia, cavan",,Cavan,316000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-19,"182 lower kimmage road, dublin 6w",,Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-19,"18 marlstone manor, thurles, tipperary",,Tipperary,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-05-06,"35 dunsink park, finglas, dublin 11",Dublin 11,Dublin,155000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-06-15,"2 clone west, monamolin, gorey",,Wexford,61674.0,No,Yes,New Dwelling house /Apartment,
2021-05-21,"24 gort an ghabhann, claregalway",,Galway,232331.88,No,Yes,New Dwelling house /Apartment,
2018-11-23,"14 the crescent, priory court, watergrasshill",,Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-05-01,"6 ballincur park, kinnitty, offaly",,Offaly,132500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-06,"58 the woods, glounthaune, cork",,Cork,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-06-22,"glencoe, the harbour, north beach",,Wicklow,580000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-08-15,"35 shanboley rd, beaumont, dublin 9",Dublin 9,Dublin,417500.0,No,No,Second-Hand Dwelling house /Apartment,
2015-12-17,"doon west, ballybunion, co. kerry",,Kerry,45000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-10-14,"barnaboy, lawrencetown, ballinasloe",,Galway,55000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-11-30,"30 cowper road, rathmines, dublin 6",,Dublin,1650000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-08-04,"15 drynam dr, drynam hall, kettles lane",,Dublin,327500.0,No,No,Second-Hand Dwelling house /Apartment,
2018-11-19,"tooreenagowan, knocknagoshel, kerry",,Kerry,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-11-25,"tall timbers, rathcolman, mullingar",,Westmeath,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-03-13,"48 college park, letterkenny, donegal",,Donegal,122500.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-12,"12 castlecourt apt, rathfarnham, dublin 14",,Dublin,402000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-02,"13 wadelai rd, ballymun, dublin 11",Dublin 11,Dublin,445000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-12-12,"110 rath lodge, ashbourne, meath",,Meath,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-08,"coolagh, abbeyside, dungarvan",,Waterford,460000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-02,"17 dartry park, cootehill, cavan",,Cavan,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-09-19,"3 finvola park, dunfanaghy",,Donegal,67000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-04-03,"ballingarden, parke, castlebar",,Mayo,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-31,"15 rivercourt, grattan quay, waterford",,Waterford,70000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-07-10,"31 ard na ri, carrigaline, cork",,Cork,226500.0,No,No,Second-Hand Dwelling house /Apartment,
2017-04-03,"landscape, passage rd, waterford",,Waterford,205200.0,No,No,Second-Hand Dwelling house /Apartment,
2014-05-15,"123 lally rd, ballyfermot, dublin 10",Dublin 10,Dublin,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-06-09,"11 cahirdown wood, listowel, kerry",,Kerry,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-09-10,"58 main st, ballybay, monaghan",,Monaghan,45000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-07-18,"2 parkside, westgate, bishopstown",,Cork,396476.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2015-02-02,"21 the oaks, ridgewood, forest rd",,Dublin,237500.0,No,No,Second-Hand Dwelling house /Apartment,
2017-07-12,"castlegal, cliffany, co. sligo",,Sligo,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-07-19,"apt 12 new bancroft place, main street, tallaght",Dublin 24,Dublin,193946.1,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2012-12-20,"apartment 1b, the old presbytery  cathedral place, killarney",,Kerry,193832.59,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2014-09-23,"apartment 309 the edges, block c2, sandyford",Dublin 18,Dublin,287000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-07-20,"11 drynam rise, drynham hall, kinsealy",,Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-05-01,"43 burnell green, northern cross, malahide road",Dublin 17,Dublin,132787.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2013-11-13,"41b crossneen manor, leighlin road, carlow",,Carlow,82500.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-01-05,"13 newtown park, tramore",,Waterford,610000.0,No,Yes,New Dwelling house /Apartment,
2014-12-10,"apt 14, south channel court, south terrace",,Cork,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-01-08,"11 olde mill stone, killala road, ballina",,Mayo,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-30,"22 the avenue, broadmeadow vale, ratoath",,Meath,365638.0,No,Yes,New Dwelling house /Apartment,
2017-11-03,"25 hamilton avenue, mount hamilton, carrick road",,Louth,185022.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-07-26,"5 ashfield, kilkenny",,Kilkenny,292500.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-07,"27 radcliffe hall, st johns rd, dublin 4",,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-05-22,"67 abbey vale, corbally, limerick",,Limerick,97000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-31,"14 palace crescent, longford, longford",,Longford,26000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-06-05,"41 clooneen park, manorhamilton, leitrim",,Leitrim,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-05,"57 carton wood, dublin road, ma",,Kildare,361233.48,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-07-24,"23 appollonian suites, gallweys hill, tramore",,Waterford,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-18,"4 sooreeney, sixmilebridge",,Clare,316079.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2010-08-03,"clone, kilmoganny",,Kilkenny,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-03-15,"16 shanrath road, castledermot road, athy",,Kildare,88107.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2013-08-28,"29 delvin banks, naul",,Dublin,275000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2012-06-20,"23 willowbank drive, rathfarnham, dublin 16",,Dublin,377500.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-17,"15 beech wood, prospect wood, longford",,Longford,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-05-11,"3 chapel lane, blackabbey gate, adare",,Limerick,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-08-17,"24 dermot street, clongriffin",Dublin 13,Dublin,242290.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2012-10-18,"18 orourke park, sallynoggin, dunlaoghaire",,Dublin,210000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-05,"upper lea, portarlington, county laois",,Laois,90000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-03-20,"76 trinity st, drogheda, louth",,Louth,175000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-02-26,"3 kilmainhamwood, kells, meath",,Meath,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-15,"12 the mews, clover meadows, ferrybank",,Kilkenny,50000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-01-07,"milltown, ballysimon, limerick",,Limerick,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-12-21,"hamletwood lodge, hamlet lane, balbriggen",,Dublin,360000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-04-07,"3 rosmeen, millmount rd, mullingar",,Westmeath,95000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-02-13,"16 ashfield green, balbriggan, dublin",,Dublin,243500.0,No,No,Second-Hand Dwelling house /Apartment,
