DateofSale(yyyy-mm-dd),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,CleanedPrice(€),Town,StockPrice,Population,quarter,QuarterNumber
2012-01-24,"['9 springfield orchard', ' victoria terrace', ' ennis']",,Clare,63500.0,No,No,Second-Hand Dwelling house /Apartment,,63499.99999999997,Ennis,1314.65,25276.0,2012Q1,1.0
2019-02-18,"['garraha', ' whiddy island', ' bantry']",,Cork,130000.0,No,No,Second-Hand Dwelling house /Apartment,,130000.00000000006,Small Towns,2775.6,,2019Q1,1.0
2019-06-28,"['annahale', ' dundalk rd', ' castleblaney']",,Monaghan,175000.0,No,No,Second-Hand Dwelling house /Apartment,,175000.00000000003,Small Towns,2941.76,,2019Q2,2.0
2017-02-13,"['292 moness cottages', ' speenoge', ' burt']",,Donegal,73000.0,No,No,Second-Hand Dwelling house /Apartment,,72999.99999999997,,2328.25,,2017Q1,1.0
2021-08-06,"['3 woodbrook park', ' riverwood rd', ' castleknock dublin 15']",Dublin 15,Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,,305000.0,,4436.52,,2021Q3,3.0
2019-03-29,"['70 rathborne court', ' ashtown', ' dublin 15']",Dublin 15,Dublin,435000.0,No,No,Second-Hand Dwelling house /Apartment,,435000.0000000004,,2834.4,,2019Q1,1.0
2015-04-21,"['340 tonlegee rd', ' raheny', ' dublin 5']",Dublin 5,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,,289999.9999999999,,2097.29,,2015Q2,2.0
2010-06-01,"['apartment 44 waterside drive', ' wateside swords', ' malahide']",,Dublin,221954.92,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,221954.91999999995,,1070.71,,2010Q2,2.0
2021-09-16,"['station rd', ' castletown geoghegan', ' co westmeath']",,Westmeath,260000.0,No,No,Second-Hand Dwelling house /Apartment,,260000.00000000012,,4473.76,,2021Q3,3.0
2016-07-22,"['38 an riasc', ' farnham drive', ' finglas']",Dublin 11,Dublin,295100.0,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,295099.9999999998,,2175.03,,2016Q3,3.0
2011-09-05,"['3 hydro court', ' kilkee']",,Clare,41763.79,No,No,Second-Hand Dwelling house /Apartment,,41763.78999999999,Small Towns,1173.97,,2011Q3,3.0
2017-05-11,"['apt 4', ' 1 jervis st', ' dublin 1']",Dublin 1,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,,295000.00000000006,,2394.44,,2017Q2,2.0
2011-07-20,"['25 the meadows', ' point road', ' dundalk']",,Louth,140356.71,No,No,Second-Hand Dwelling house /Apartment,,140356.70999999996,Dundalk,1325.84,39004.0,2011Q3,3.0
2020-06-11,"['5 craike house', ' francis st', ' dublin 8']",Dublin 8,Dublin,210000.0,No,No,Second-Hand Dwelling house /Apartment,,210000.0000000001,,3002.1,,2020Q2,2.0
2018-03-08,"['2 ard na greine', ' tivoli rd', ' dun laoghaire']",,Dublin,861000.0,No,No,Second-Hand Dwelling house /Apartment,,861000.0000000003,,2738.97,,2018Q1,1.0
2013-06-20,"['33 rivergrove', ' oranmore']",,Galway,139100.0,No,No,Second-Hand Dwelling house /Apartment,,139100.00000000006,,1588.19,,2013Q2,2.0
2018-10-30,"[""house located at rosie's bar"", ' drumkeen', ' co donegal']",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,50000.00000000001,,2682.63,,2018Q4,4.0
2013-12-19,"['dooyork', ' skerries', ' co dublin']",,Dublin,505000.0,No,No,Second-Hand Dwelling house /Apartment,,505000.00000000006,,1809.6,,2013Q4,4.0
2013-09-18,"['3 lower marian road', ' boyle']",,Roscommon,40000.0,Yes,No,Second-Hand Dwelling house /Apartment,,39999.99999999997,Small Towns,1725.52,,2013Q3,3.0
2011-12-19,"['ballinakill', ' arklow']",,Wicklow,75000.0,Yes,No,Second-Hand Dwelling house /Apartment,,74999.99999999996,Small Towns,1205.35,,2011Q4,4.0
2015-06-23,"['ballymakellett', ' ravensdale', ' dundalk']",,Louth,50000.0,No,No,Second-Hand Dwelling house /Apartment,,50000.00000000001,Dundalk,2124.2,39004.0,2015Q2,2.0
2011-06-17,"['kellystown', ' adamstown', ' enniscorthy']",,Wexford,199187.96,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,199187.96,Small Towns,1271.5,,2011Q2,2.0
2010-11-16,"['tullybeg house', ' tullybeg', ' rahan  tullamore']",,Offaly,200000.0,No,No,Second-Hand Dwelling house /Apartment,,200000.0000000001,,1178.34,,2010Q4,4.0
2014-10-02,"['bloomfield', ' 29 howth rd', ' clontarf']",Dublin 3,Dublin,780000.0,No,No,Second-Hand Dwelling house /Apartment,,780000.0,,1946.17,,2014Q4,4.0
2010-10-08,"['116 seabury lawns', ' mornington', ' duleek']",,Meath,215000.0,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,215000.0000000001,,1165.15,,2010Q4,4.0
2019-08-07,"['15 mckee ave', ' finglas', ' dublin 11']",Dublin 11,Dublin,246000.0,No,No,Second-Hand Dwelling house /Apartment,,246000.0000000001,,2883.98,,2019Q3,3.0
2017-11-30,"['27 hillview heights', ' clane', ' kildare']",,Kildare,305000.0,No,No,Second-Hand Dwelling house /Apartment,,305000.0,,2647.58,,2017Q4,4.0
2011-08-11,"['28 rahylin glebe', ' ballybane', ' galway']",,Galway,105000.0,No,No,Second-Hand Dwelling house /Apartment,,105000.00000000004,Galway,1172.64,79934.0,2011Q3,3.0
2013-08-08,"['14 muing estate', ' tralee']",,Kerry,40000.0,No,No,Second-Hand Dwelling house /Apartment,,39999.99999999997,Tralee,1697.48,23691.0,2013Q3,3.0
2017-07-18,"['31 c lansdowne valley', ' slievebloom rd', ' drimnagh dublin 12']",Dublin 12,Dublin,157500.0,No,No,Second-Hand Dwelling house /Apartment,,157499.99999999994,,2460.61,,2017Q3,3.0
2015-07-28,"['asgard apartment complex', ' the quay', ' westport']",,Mayo,650000.0,No,No,Second-Hand Dwelling house /Apartment,,,Small Towns,2093.25,,2015Q3,3.0
2017-06-30,"['drumdoo', ' mohill', ' leitrim']",,Leitrim,75000.0,No,No,Second-Hand Dwelling house /Apartment,,74999.99999999996,,2423.41,,2017Q2,2.0
2016-12-16,"['rannagh', ' liscannor', ' co clare']",,Clare,85000.0,No,No,Second-Hand Dwelling house /Apartment,,85000.0,,2258.07,,2016Q4,4.0
2019-10-02,"['ardnacloghy', ' carrigaline', ' cork']",,Cork,377500.0,No,No,Second-Hand Dwelling house /Apartment,,377499.9999999999,Cork,2887.61,208669.0,2019Q4,4.0
2010-07-21,"['gortnaskeha commons', ' ballybunion']",,Kerry,70000.0,No,No,Second-Hand Dwelling house /Apartment,,69999.99999999994,,1069.59,,2010Q3,3.0
2019-08-21,"['5 seabury lawns', ' mornington', ' co meath']",,Meath,205000.0,No,No,Second-Hand Dwelling house /Apartment,,205000.0,,2924.43,,2019Q3,3.0
2015-08-26,"['3 gort na bro', ' millars lane', ' rahoon']",,Galway,200000.0,No,No,Second-Hand Dwelling house /Apartment,,200000.0000000001,,1940.51,,2015Q3,3.0
2018-01-26,"['42 longwood avenue', ' south circular road', ' portobello']",Dublin 8,Dublin,1025000.0,No,No,Second-Hand Dwelling house /Apartment,,1024999.9999999992,,2872.87,,2018Q1,1.0
2018-10-26,"['4 centenary row', ' old youghal rd', ' cork']",,Cork,185000.0,No,No,Second-Hand Dwelling house /Apartment,,185000.0000000001,Cork,2658.69,208669.0,2018Q4,4.0
2017-10-27,"['lissyegan', ' ahascragh', ' ballinasloe']",,Galway,125000.0,No,No,Second-Hand Dwelling house /Apartment,,124999.99999999993,Small Towns,2581.07,,2017Q4,4.0
2019-12-20,"['6 st marys court', ' dunboyne', ' meath']",,Meath,260000.0,No,No,Second-Hand Dwelling house /Apartment,,260000.00000000012,,3221.22,,2019Q4,4.0
2018-12-10,"['ruanmore', ' wells', ' gorey']",,Wexford,250000.0,No,No,Second-Hand Dwelling house /Apartment,,249999.99999999985,Gorey,2637.72,9822.0,2018Q4,4.0
2016-06-07,"['1 riverview', ' beach road', ' passage west']",,Cork,225000.0,No,No,Second-Hand Dwelling house /Apartment,,225000.00000000012,Small Towns,2112.13,,2016Q2,2.0
2017-03-10,"['apt 86 the lighthouse', ' church rd', ' east wall']",Dublin 3,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,194999.99999999997,,2372.6,,2017Q1,1.0
2021-03-29,"['kylebeg', ' church st', ' banagher']",,Offaly,370000.0,No,No,Second-Hand Dwelling house /Apartment,,,,3971.09,,2021Q1,1.0
2021-08-06,"['21 castleland court', ' balbriggan', ' dublin']",,Dublin,165000.0,No,No,Second-Hand Dwelling house /Apartment,,165000.00000000006,Dublin,4436.52,1173179.0,2021Q3,3.0
2018-04-18,"['victoria lodge', ' yeomanstown stud', ' yeomanstown']",,Kildare,90000.0,No,No,Second-Hand Dwelling house /Apartment,,89999.99999999997,,2708.64,,2018Q2,2.0
2019-07-16,"['24 winters hill', ' cork', ' cork']",,Cork,90000.0,No,No,Second-Hand Dwelling house /Apartment,,89999.99999999997,Cork,3004.04,208669.0,2019Q3,3.0
2020-10-02,"['1 five oaks village', ' dublin rd', ' drogheda']",,Louth,335000.0,No,No,Second-Hand Dwelling house /Apartment,,334999.9999999998,Drogheda,3348.44,40956.0,2020Q4,4.0
2021-04-27,"['20 the drive', ' drynam hall', ' kinsealy']",,Dublin,355000.0,No,No,Second-Hand Dwelling house /Apartment,,355000.0,,4186.72,,2021Q2,2.0
2020-11-04,"['kyle', ' rathmanna', ' thurles']",,Tipperary,100000.0,No,No,Second-Hand Dwelling house /Apartment,,100000.0,Small Towns,3443.44,,2020Q4,4.0
2010-07-19,"['67  sli gheal', ' ballymoneen road', ' knocknacarra']",,Galway,230000.0,No,No,Second-Hand Dwelling house /Apartment,,230000.0000000002,,1071.25,,2010Q3,3.0
2013-12-06,"['lismore', ' raheenagurren west', ' gorey']",,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,,149999.99999999994,Gorey,1805.09,9822.0,2013Q4,4.0
2014-06-16,"['apt 14', ' old mill', ' sixmilebridge']",,Clare,12000.0,No,No,Second-Hand Dwelling house /Apartment,,11999.999999999993,,1937.78,,2014Q2,2.0
2016-12-16,"['21 the lawn', ' hansfield wood', ' hansfield  clonsilla']",Dublin 15,Dublin,274949.21,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,274949.21,,2258.07,,2016Q4,4.0
2015-07-13,"['9 the old schoole house', ' saggart', ' dublin']",Dublin 24,Dublin,112500.0,No,No,Second-Hand Dwelling house /Apartment,,112500.00000000006,Dublin,2099.6,1173179.0,2015Q3,3.0
2019-08-26,"['30 foynes court', ' longford', ' longford']",,Longford,210000.0,Yes,No,Second-Hand Dwelling house /Apartment,,210000.0000000001,Small Towns,2878.38,,2019Q3,3.0
2021-11-08,"['85 the atrium', ' beechwood court', ' stillorgan']",,Dublin,379408.91,No,No,Second-Hand Dwelling house /Apartment,,379408.91,,4701.7,,2021Q4,4.0
2020-12-07,"['29 riverbank', ' easkey', ' sligo']",,Sligo,195000.0,No,No,Second-Hand Dwelling house /Apartment,,194999.99999999997,Sligo,3691.96,19199.0,2020Q4,4.0
2016-12-19,"['6 dalkey court', ' barnhill rd', ' dalkey']",,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,,470000.0,,2262.53,,2016Q4,4.0
2017-02-03,"['33 marine village', ' ballina killaloe', ' tipperary']",,Tipperary,405100.0,No,No,Second-Hand Dwelling house /Apartment,,405100.0000000002,Tipperary,2297.42,4979.0,2017Q1,1.0
2019-09-09,"['82 baunoge', ' mount pleasant', ' loughrea']",,Galway,180000.0,No,No,Second-Hand Dwelling house /Apartment,,179999.99999999997,Small Towns,2978.43,,2019Q3,3.0
2019-12-13,"['5-7  9-13  15  17 & 19', ' somerton walk (incl.)', ' newcastle road  lucan']",,Dublin,3216892.09,No,Yes,New Dwelling house /Apartment,,,,3168.8,,2019Q4,4.0
2015-01-31,"['7 the green', ' ballyfoyle', ' kilkenny']",,Kilkenny,255000.0,No,No,Second-Hand Dwelling house /Apartment,,254999.99999999985,Kilkenny,1994.99,26512.0,2015Q1,1.0
2018-04-26,"['294 st attracta rd', ' cabra', ' dublin 7']",Dublin 7,Dublin,125000.0,Yes,No,Second-Hand Dwelling house /Apartment,,124999.99999999993,,2666.94,,2018Q2,2.0
2015-04-28,"['250 the willows', ' carrington', ' santry']",Dublin 9,Dublin,166994.82,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,166994.8199999999,,2114.76,,2015Q2,2.0
2020-02-12,"['apt 31', ' dunaras village', ' bishop odonnell rd']",,Galway,159000.0,No,No,Second-Hand Dwelling house /Apartment,,158999.99999999997,,3379.45,,2020Q1,1.0
2014-08-13,"['41 the courtyard', ' fair hill', ' killarney']",,Kerry,133000.0,No,No,Second-Hand Dwelling house /Apartment,,132999.99999999997,Killarney,1946.72,14504.0,2014Q3,3.0
2019-03-18,"['apt 4 block 3', ' tus abhaile', ' time square ballincollig']",,Cork,208000.0,No,No,Second-Hand Dwelling house /Apartment,,207999.99999999997,,2832.94,,2019Q1,1.0
2015-06-24,"['12 corrain bhearu', ' cois bhearu', ' athy']",,Kildare,267860.0,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,267860.0,Small Towns,2108.58,,2015Q2,2.0
2021-02-17,"['26 ticknock park', ' ticknock hill', ' blackglen rd dublin 18']",Dublin 18,Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,,299999.9999999999,,3931.33,,2021Q1,1.0
2015-12-04,"['18 the laurels', ' avourwen meadows', ' drogheda']",,Meath,186026.5,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,186026.5000000001,,2091.69,,2015Q4,4.0
2021-10-18,"['8 the lawn', ' ledwill park', ' kilcock']",,Kildare,357500.0,No,Yes,New Dwelling house /Apartment,,357500.0000000001,,4486.48,,2021Q4,4.0
2011-08-15,"['141 the hermitage', ' dublin road', ' portlaoise']",,Laois,115000.0,No,No,Second-Hand Dwelling house /Apartment,,115000.00000000007,Port Laoise,1204.49,,2011Q3,3.0
2021-08-31,"['1 maple hall', ' mount st annes', ' milltown']",Dublin 6,Dublin,475000.0,No,No,Second-Hand Dwelling house /Apartment,,475000.0,,4522.68,,2021Q3,3.0
2012-10-10,"['11 stonewell', ' brigown', ' mitchelstown']",,Cork,175000.0,No,No,Second-Hand Dwelling house /Apartment,,175000.00000000003,,1432.56,,2012Q4,4.0
2015-07-07,"['6 pembroke cottages', ' booterstown', ' dublin']",,Dublin,377000.0,No,No,Second-Hand Dwelling house /Apartment,,377000.0,Dublin,2081.34,1173179.0,2015Q3,3.0
2020-09-25,"['8 chestnut mews', ' cluain árd', ' cobh']",,Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,,190000.0000000001,Small Towns,3298.46,,2020Q3,3.0
2021-05-24,"['125 chestnut grove', ' castlebar', ' mayo']",,Mayo,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,,100000.0,Small Towns,4197.05,,2021Q2,2.0
2014-06-13,"['old kasper', ' manor avenue', ' greystones']",,Wicklow,640000.0,No,No,Second-Hand Dwelling house /Apartment,,639999.9999999998,Small Towns,1936.16,,2014Q2,2.0
2020-01-17,"['2 cnoc view', ' lartigue rd', ' ballybunnion']",,Kerry,176000.0,No,No,Second-Hand Dwelling house /Apartment,,176000.00000000003,,3329.62,,2020Q1,1.0
2011-04-22,"[""50 st. michael's road"", ' longford town']",,Longford,115000.0,No,No,Second-Hand Dwelling house /Apartment,,115000.00000000007,,1337.38,,2011Q2,2.0
2015-12-19,"['coolballintaggart', ' tinahely', ' wicklow']",,Wicklow,27500.0,No,No,Second-Hand Dwelling house /Apartment,,27500.000000000025,Wicklow,2005.55,10584.0,2015Q4,4.0
2021-02-11,"['58 briarfield rd', ' kilbarrack', ' dublin 5']",Dublin 5,Dublin,281000.0,No,No,Second-Hand Dwelling house /Apartment,,280999.9999999998,,3916.38,,2021Q1,1.0
2020-08-28,"['12a laghtagoona', ' corofin', ' co clare']",,Clare,196000.0,No,No,Second-Hand Dwelling house /Apartment,,196000.0000000001,,3508.01,,2020Q3,3.0
2018-09-20,"['10 brickfield gardens', ' dublin rd', ' dundalk']",,Louth,200000.0,No,No,Second-Hand Dwelling house /Apartment,,200000.0000000001,Dundalk,2930.75,39004.0,2018Q3,3.0
2021-09-30,"['59 farneyhoogan', ' athlone rd', ' longford']",,Longford,35000.0,No,No,Second-Hand Dwelling house /Apartment,,34999.99999999997,Small Towns,4307.54,,2021Q3,3.0
2017-10-17,"['40 morehampton sq', ' dublin 4', ' dublin']",Dublin 4,Dublin,262000.0,Yes,No,Second-Hand Dwelling house /Apartment,,261999.99999999985,Dublin,2559.36,1173179.0,2017Q4,4.0
2017-09-25,"['55 woodview lawn', ' saleen', ' cloyne']",,Cork,295000.0,No,No,Second-Hand Dwelling house /Apartment,,295000.00000000006,,2496.66,,2017Q3,3.0
2021-11-22,"['298 sycamore park', ' edenderry', ' offaly']",,Offaly,249000.0,No,No,Second-Hand Dwelling house /Apartment,,248999.99999999988,Small Towns,4682.95,,2021Q4,4.0
2010-05-06,"['10 marlfield green', ' kiltipper', ' tallaght']",,Dublin,151000.0,No,No,Second-Hand Dwelling house /Apartment,,151000.0000000001,,1128.15,,2010Q2,2.0
2010-02-01,"['21 willsbrook crescent', ' lucan', ' co. dublin']",,Dublin,262500.0,No,No,Second-Hand Dwelling house /Apartment,,262499.9999999999,,1089.19,,2010Q1,1.0
2020-12-09,"['36 forgelands', ' old forge road', ' enniscorthy']",,Wexford,215000.0,No,Yes,New Dwelling house /Apartment,,215000.0000000001,Small Towns,3672.82,,2020Q4,4.0
2015-03-31,"['10 woodstown dale', ' knocklyon', ' dublin 16']",Dublin 16,Dublin,437000.0,No,No,Second-Hand Dwelling house /Apartment,,436999.9999999998,,2067.89,,2015Q1,1.0
2017-08-11,"['24 park sq', ' grange rath', ' drogheda']",,Meath,228000.0,No,No,Second-Hand Dwelling house /Apartment,,227999.9999999998,,2441.32,,2017Q3,3.0
2021-09-17,"['4 wilton gardens', ' wilton', ' cork']",,Cork,401000.0,No,No,Second-Hand Dwelling house /Apartment,,401000.0,Cork,4432.99,208669.0,2021Q3,3.0
2019-07-17,"['60 glendine heights', ' castlecomer road', ' kilkenny']",,Kilkenny,292000.0,No,No,Second-Hand Dwelling house /Apartment,,291999.99999999994,Kilkenny,2984.42,26512.0,2019Q3,3.0
2015-06-10,"['carrig cottage', ' drinagh east', ' dunmanway']",,Cork,85000.0,No,No,Second-Hand Dwelling house /Apartment,,85000.0,,2105.2,,2015Q2,2.0
2020-12-11,"['1 the green', ' bellingsmore', ' kilmartin']",,Dublin,400000.0,No,Yes,New Dwelling house /Apartment,,400000.0000000002,,3663.46,,2020Q4,4.0
2017-05-05,"['the shop', ' main street', ' stoneyford']",,Kilkenny,22500.0,No,No,Second-Hand Dwelling house /Apartment,,22499.99999999999,,2399.29,,2017Q2,2.0
2018-07-05,"['apartment 112  leona block', ' honeypark', ' dun laoghaire']",,Dublin,410000.0,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,410000.00000000006,,2736.61,,2018Q3,3.0
2014-07-22,"['the haven', ' kilmacanogue']",,Wicklow,335000.0,No,No,Second-Hand Dwelling house /Apartment,,334999.9999999998,,1983.53,,2014Q3,3.0
2020-10-21,"['67 gleann na riogh drive', ' naas', ' co kildare']",,Kildare,201000.0,No,No,Second-Hand Dwelling house /Apartment,,200999.99999999997,Naas,3435.56,21393.0,2020Q4,4.0
2013-11-06,"['corbetstown', ' killucan']",,Meath,262000.0,No,No,Second-Hand Dwelling house /Apartment,,261999.99999999985,,1770.49,,2013Q4,4.0
2015-07-30,"['bruhenny', ' boreen dearg', ' rathpeacon']",,Cork,280000.0,No,No,Second-Hand Dwelling house /Apartment,,279999.9999999998,,2108.63,,2015Q3,3.0
2017-06-01,"['17 philipsvale', ' daingean', ' offaly']",,Offaly,133000.0,No,No,Second-Hand Dwelling house /Apartment,,132999.99999999997,,2430.06,,2017Q2,2.0
2021-09-09,"['8 the green', ' carrickmines manor', ' carrickmines dublin 18']",Dublin 18,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,,470000.0,,4493.28,,2021Q3,3.0
2021-06-14,"['newcastle', ' enfield', ' meath']",,Meath,280000.0,No,No,Second-Hand Dwelling house /Apartment,,279999.9999999998,,4255.15,,2021Q2,2.0
2021-06-09,"['ballagh', ' bushypark', ' galway']",,Galway,1493000.0,No,No,Second-Hand Dwelling house /Apartment,,,Galway,4219.55,79934.0,2021Q2,2.0
2013-09-10,"['42 caislean na habhann', ' brookfield', ' castletroy']",,Limerick,75000.0,No,No,Second-Hand Dwelling house /Apartment,,74999.99999999996,,1683.99,,2013Q3,3.0
2019-02-28,"['4 fernleigh', ' church rd', ' milford']",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,50000.00000000001,,2784.49,,2019Q1,1.0
2017-06-07,"['11 ashton park', ' blackrock rd', ' cork']",,Cork,166000.0,No,No,Second-Hand Dwelling house /Apartment,,166000.00000000003,Cork,2433.14,208669.0,2017Q2,2.0
2018-10-26,"['13 hughes rd south', ' walkinstown', ' dublin 12']",Dublin 12,Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,,345000.00000000006,,2658.69,,2018Q4,4.0
2019-02-22,"['cloughbally upper', ' mullagh', ' co. cavan']",,Cavan,390000.0,No,No,Second-Hand Dwelling house /Apartment,,390000.0,,2792.67,,2019Q1,1.0
2020-12-02,"['144 cherryfield rd', ' walkinstown', ' dublin 12']",Dublin 12,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,,365000.0000000002,,3669.01,,2020Q4,4.0
2017-08-09,"['8 temple view', ' neptune house', ' temple crescent']",,Dublin,999999.7,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,999999.7000000002,,2474.02,,2017Q3,3.0
2016-07-01,"['no 1  woodlands close', ' woodlands', ' birr']",,Offaly,100000.0,No,No,Second-Hand Dwelling house /Apartment,,100000.0,Small Towns,2102.95,,2016Q3,3.0
2016-11-18,"['18 eden park rd', ' goatstown', ' dublin 14']",Dublin 14,Dublin,770000.0,No,No,Second-Hand Dwelling house /Apartment,,769999.9999999995,,2181.9,,2016Q4,4.0
2011-11-17,"['6 cleburne mews', ' old quarter', ' ballincollig']",,Cork,165137.62,Yes,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,165137.62000000002,,1216.13,,2011Q4,4.0
2017-09-28,"['19 thomond village', ' ballyglennan', ' cratloe']",,Limerick,40500.0,No,No,Second-Hand Dwelling house /Apartment,,40499.99999999996,,2510.06,,2017Q3,3.0
